STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON MA US,19480920 13:00,0.25, , 
COOP:190770,BOSTON MA US,19480930 21:00,0.51, , 
COOP:190770,BOSTON MA US,19480930 22:00,0.51, , 
COOP:190770,BOSTON MA US,19480930 23:00,4.83, , 
COOP:190770,BOSTON MA US,19481001 00:00,0.25, , 
COOP:190770,BOSTON MA US,19481001 01:00,0,g, 
COOP:190770,BOSTON MA US,19481001 02:00,0.51, , 
COOP:190770,BOSTON MA US,19481001 03:00,3.81, , 
COOP:190770,BOSTON MA US,19481001 04:00,6.86, , 
COOP:190770,BOSTON MA US,19481001 05:00,1.02, , 
COOP:190770,BOSTON MA US,19481001 07:00,0.25, , 
COOP:190770,BOSTON MA US,19481008 11:00,0.25, , 
COOP:190770,BOSTON MA US,19481008 16:00,0.76, , 
COOP:190770,BOSTON MA US,19481008 18:00,1.78, , 
COOP:190770,BOSTON MA US,19481008 19:00,9.91, , 
COOP:190770,BOSTON MA US,19481008 21:00,0.25, , 
COOP:190770,BOSTON MA US,19481008 23:00,2.03, , 
COOP:190770,BOSTON MA US,19481009 01:00,0.25, , 
COOP:190770,BOSTON MA US,19481011 20:00,0.25, , 
COOP:190770,BOSTON MA US,19481011 21:00,0.51, , 
COOP:190770,BOSTON MA US,19481011 22:00,1.02, , 
COOP:190770,BOSTON MA US,19481011 23:00,0.51, , 
COOP:190770,BOSTON MA US,19481012 00:00,1.78, , 
COOP:190770,BOSTON MA US,19481012 01:00,24.38, , 
COOP:190770,BOSTON MA US,19481012 02:00,8.89, , 
COOP:190770,BOSTON MA US,19481012 03:00,0.76, , 
COOP:190770,BOSTON MA US,19481014 09:00,0.25, , 
COOP:190770,BOSTON MA US,19481018 09:00,0.25, , 
COOP:190770,BOSTON MA US,19481018 10:00,0.51, , 
COOP:190770,BOSTON MA US,19481018 11:00,0.51, , 
COOP:190770,BOSTON MA US,19481018 12:00,0.76, , 
COOP:190770,BOSTON MA US,19481018 13:00,0.51, , 
COOP:190770,BOSTON MA US,19481018 15:00,0.25, , 
COOP:190770,BOSTON MA US,19481024 05:00,0.25, , 
COOP:190770,BOSTON MA US,19481024 06:00,1.27, , 
COOP:190770,BOSTON MA US,19481024 07:00,1.02, , 
COOP:190770,BOSTON MA US,19481024 08:00,0.76, , 
COOP:190770,BOSTON MA US,19481024 09:00,1.02, , 
COOP:190770,BOSTON MA US,19481024 10:00,1.02, , 
COOP:190770,BOSTON MA US,19481024 11:00,2.03, , 
COOP:190770,BOSTON MA US,19481024 12:00,2.79, , 
COOP:190770,BOSTON MA US,19481024 13:00,2.54, , 
COOP:190770,BOSTON MA US,19481024 14:00,1.78, , 
COOP:190770,BOSTON MA US,19481024 15:00,3.56, , 
COOP:190770,BOSTON MA US,19481024 16:00,3.81, , 
COOP:190770,BOSTON MA US,19481024 17:00,3.3, , 
COOP:190770,BOSTON MA US,19481024 18:00,1.78, , 
COOP:190770,BOSTON MA US,19481024 19:00,1.27, , 
COOP:190770,BOSTON MA US,19481024 20:00,0.51, , 
COOP:190770,BOSTON MA US,19481025 00:00,0.25, , 
COOP:190770,BOSTON MA US,19481025 01:00,1.27, , 
COOP:190770,BOSTON MA US,19481025 02:00,1.27, , 
COOP:190770,BOSTON MA US,19481025 03:00,1.52, , 
COOP:190770,BOSTON MA US,19481025 04:00,0.51, , 
COOP:190770,BOSTON MA US,19481025 05:00,0.25, , 
COOP:190770,BOSTON MA US,19481025 06:00,0.25, , 
COOP:190770,BOSTON MA US,19481025 07:00,0.25, , 
COOP:190770,BOSTON MA US,19481025 10:00,0.25, , 
COOP:190770,BOSTON MA US,19481025 13:00,0.25, , 
COOP:190770,BOSTON MA US,19481025 14:00,0.76, , 
COOP:190770,BOSTON MA US,19481025 15:00,2.79, , 
COOP:190770,BOSTON MA US,19481025 16:00,4.32, , 
COOP:190770,BOSTON MA US,19481025 17:00,5.08, , 
COOP:190770,BOSTON MA US,19481025 18:00,2.03, , 
COOP:190770,BOSTON MA US,19481025 19:00,0.25, , 
COOP:190770,BOSTON MA US,19481025 22:00,0.25, , 
COOP:190770,BOSTON MA US,19481026 03:00,0.76, , 
COOP:190770,BOSTON MA US,19481026 04:00,1.52, , 
COOP:190770,BOSTON MA US,19481026 05:00,0.51, , 
COOP:190770,BOSTON MA US,19481026 06:00,0.51, , 
COOP:190770,BOSTON MA US,19481026 07:00,0.25, , 
COOP:190770,BOSTON MA US,19481026 08:00,0.25, , 
COOP:190770,BOSTON MA US,19481101 01:00,0,g, 
COOP:190770,BOSTON MA US,19481103 22:00,0.25, , 
COOP:190770,BOSTON MA US,19481103 23:00,1.52, , 
COOP:190770,BOSTON MA US,19481104 01:00,0.51, , 
COOP:190770,BOSTON MA US,19481104 02:00,1.27, , 
COOP:190770,BOSTON MA US,19481104 03:00,3.56, , 
COOP:190770,BOSTON MA US,19481104 04:00,0.25, , 
COOP:190770,BOSTON MA US,19481104 06:00,0.51, , 
COOP:190770,BOSTON MA US,19481104 12:00,1.27, , 
COOP:190770,BOSTON MA US,19481104 13:00,7.87, , 
COOP:190770,BOSTON MA US,19481104 14:00,0.25, , 
COOP:190770,BOSTON MA US,19481104 15:00,0.76, , 
COOP:190770,BOSTON MA US,19481104 16:00,1.52, , 
COOP:190770,BOSTON MA US,19481104 17:00,2.03, , 
COOP:190770,BOSTON MA US,19481104 19:00,0.25, , 
COOP:190770,BOSTON MA US,19481107 09:00,0.76, , 
COOP:190770,BOSTON MA US,19481107 10:00,2.29, , 
COOP:190770,BOSTON MA US,19481107 11:00,1.27, , 
COOP:190770,BOSTON MA US,19481107 12:00,0.25, , 
COOP:190770,BOSTON MA US,19481110 13:00,0.76, , 
COOP:190770,BOSTON MA US,19481110 20:00,0.51, , 
COOP:190770,BOSTON MA US,19481110 21:00,1.02, , 
COOP:190770,BOSTON MA US,19481110 22:00,8.38, , 
COOP:190770,BOSTON MA US,19481110 23:00,6.86, , 
COOP:190770,BOSTON MA US,19481111 00:00,4.57, , 
COOP:190770,BOSTON MA US,19481111 01:00,0.76, , 
COOP:190770,BOSTON MA US,19481111 02:00,1.02, , 
